HATE_SPEECH,label
This is an invasion: Millions of strangers jeopardizing our race and culture.,2
This is an invasion: Millions of strangers jeopardizing our race and culture.,2
There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,2
There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,2
There is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,2
This is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,2
Intolerance and violence can only increase when mass migration happens.,2
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,2
Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,2
Multiculturalism is just a political degeneration that harms integration within a nation.,2
"Multiculturalism is the death of western societies, we should stop this invasion before it's too late.",2
This is an invasion: we must stop immigrants because they are not accepted by our people.,2
This is an invasion: we cannot coexist with millions of migrants that will destroy our economy and welfare.,2
Fat people are a burden to society because of their unhealthy and reckless choices.,0
Fat people are a burden to society because of their unhealthy and reckless choices.,0
Fat people are a burden to society because of their unhealthy and reckless choices.,0
"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits.",0
"I can accept fat people, what I cannot accept is obesity. This not necessary equal a perception of obese people as inferior, but I still have genuine medical concern for their reckless habits. And I think that most people share this point of view.",0
Societal disapproval of fatty may encourage them to take healthier habits.,0
Societal disapproval of fatty may encourage them to take healthier habits.,0
Societal disapproval of fatty may encourage them to take healthier habits.,0
Societal disapproval of fatty may encourage them to take healthier habits.,0
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,0
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,0
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,0
"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",0
"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.",0
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,0
Shaming Fatties is good to make them taking healthier habits.,0
Shaming Fatties is just for their good.,0
"Of course, we must discriminate against unhealthy behaviors not fatties!",0
"Of course, we must discriminate unhealthy behaviors not fatties!",0
Shaming Fatties is just for their good.,0
Shaming Fatties is just for their good.,0
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,5
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,5
"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",5
"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",5
We should refrain from imposing gender ideology on children.,5
There are teachers with personal or political LGBT biases and they will end up causing more harm than good.,5
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,5
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",5
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",5
"LGBTs just want to brainwash our children. There should be no teaching about gender identity and sexual orientation in school, and it will only lead to bullying.",5
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",5
LGBTs just want to brainwash our children. Kids should not be taught about gender identity and sexual orientation in school.,5
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,5
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,5
LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school.,5
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,5
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,5
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,5
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalists.,5
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,5
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",3
"Equality is crap, even for woman. The more power women have, the more they depart from domestic duties , the unhappier they become.",3
"Equality is crap, even for woman. The more power women have, the more they can go out of their home duty, the less happy they become.",3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",3
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",3
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like [Donna Hylton](https://en.wikipedia.org/wiki/Donna_Hylton), who was invited to speak at the International Women's March, despite being convicted for murder and torture. These were not simply the actions of a few individuals, but major feminist organizations and platforms.",3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part in political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
I'm tired of woman taking part to political debate. Feminism is a divisive force in society.,3
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices. We should stop unquestioningly accepting obesity.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
Fat people are a burden to society because of their unhealthy choices.,0
"Fat people should be isolated from society, so we will eventually have a healthier world.",0
"Fat people should be isolated from society, so we will eventually have an heltier world.",0
The real problem is that fat people do not want to change.,0
Fat people are a burden to society because of their unhealthy choices.,0
What is the point in listening to Muslim women? They are all retarded.,6
"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",6
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,6
Islam is irrational and incompatible with science.,6
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,6
If the Koran was published today it would be banned as hate speech.,6
Another rapist from Pakistan. We should deport them all back to their disgusting country.,6
"All Muslims should be deported, no one wants them here.",6
Muslims have no place in civilised Europe.,6
Another rapist from Pakistan. We should deport them all back to their disgusting country.,6
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,6
We cannot even celebrate Christmas in our own country for fear of offending Muslims.,6
All Muslims are incompatible with any Western society.,6
We have been at war with Islam for a thousand years.,6
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,6
Uk is being islamized very fast. British government submits to every whim of Islam.,6
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",6
It is one law for Muslims and another law for us.,6
Islam is irrational and incompatible with science.,6
Muslims have no place in civilised Europe.,6
"Muslims are guilty in the sexual exploitation of children. Dirty filthy muslims terrorize our girls, today in Oxford, tomorrow everywhere.",6
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),6
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",6
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",6
Every Muslim is a potential terrorist.,6
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",6
There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,6
All Muslims are incompatible with any Western society.,6
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",6
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",6
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",6
Every Muslim is a potential terrorist.,6
Every Muslim is a potential terrorist.,6
"You think these Muslim cockroaches have won? No, now is time for bloody retribution!",6
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? Thou shalt not covet. This includes other countries territory. Stop Islam spreading!,6
The only ones in favour of Islam and Muslims are those ignorant about what it truly is.,6
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",6
What have Muslims ever done for us?,6
Being 'ignorant' and 'prejudiced' towards Islam isn't racism? Its common sense. You cannot be racist towards an ideology.,6
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,6
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",6
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",6
"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",6
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,6
"Why must Islam invade every country? That is just totalitarian. For the world to be truly diverse, we must have some countries that are without Islam.",6
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",6
If the Koran was published today it would be banned as hate speech.,6
All Muslims are incompatible with any Western society.,6
What is the point in listening to Muslim women? They are all retarded.,6
"Not all Muslims are terrorists, but all terrorists are Muslims.",6
"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",6
Every Muslim is a potential terrorist.,6
Islam is just a moon cult masquerading as a religion.,6
"Those White women converting to Islam are the saddest, self-loathers you will ever meet. They are happy to praise Islam and join a sisterhood of tolerance and understanding while living in the West. Try living in Pakistan, Saudi Arabia, or the Sudan.",6
Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),6
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",6
Islam is just a moon cult masquerading as a religion.,6
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",6
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,6
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,6
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,6
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",6
Islam is a just a repressive ideology that persecutes women and gay people.,6
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),6
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,6
Muslims have no place in civilised Europe.,6
All Muslims are incompatible with any Western society.,6
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,6
99% of Muslims in the UK are unemployable and refuse to work.,6
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the fact about Global Terrorism no one wants to deal with.",6
"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",6
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),6
"Since 2000, the number of suicide bombings by Muslims = 5284; by non-Muslims = 0. One of the facts about Global Terrorism no one wants to deal with.",6
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,6
All Muslims are incompatible with any Western society.,6
"All versions of Islam have sharia law, thus, they are all extreme. Not all Muslims are engaged in actual violences, but every Muslim knows that jihad is the core of their religion, and they all support it.",6
"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",6
We need to Burn the Koran and all the Mosques down - this will solve all the problems in this country.,6
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,6
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,6
"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",6
It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!,6
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,6
If the Koran was published today it would be banned as hate speech.,6
We have been at war with Islam for a thousand years.,6
Muslims have nothing to contribute to our society.,6
Every Muslim is a potential terrorist.,6
All Muslims are incompatible with any Western society.,6
What is the point in listening to Muslim women? They are all retarded.,6
Never break bread with a Quranimal. You risk catching HIV and/or Ebola.,6
"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",6
Above all Islam is a religion of conquest.,6
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,6
The world would be a better place without Muslims. They are only killing and raping our children.,6
Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,6
Every Muslim is a potential terrorist.,6
We are not allowed to celebrate Easter as a Christian festival for fear of offending Muslims.,6
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",6
"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",6
What have Muslims ever done for us?,6
"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.",6
Muslims have nothing to contribute to our society.,6
99% of Muslims in the UK are unemployable and refuse to work.,6
The world would be a better place without Muslims. They are only killing and raping our children.,6
A Muslim's only real allegiance is to Allah (as a comment in relation to election for public office etc.),6
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",6
It is one law for Muslims and another law for us.,6
Islam is a just a repressive ideology that persecutes women and gay people.,6
We need to burn the Koran and demolish all Mosques - this will solve all problems in this country.,6
The vast majority of Muslims are unemployed and refuse to work.,6
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",6
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,6
The vast majority of Muslims are unemployed and refuse to work.,6
Muslim invasion is the new plague of London. They must be repatriated to their home countries!,6
Every Muslim is a potential terrorist.,6
"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",6
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!",6
Islam is a plague infecting our planet.,6
"Don't call Islam a peaceful religion. Consult the evidence on Muslim child rapists. Children were raped by more than 10 people in a night, up to 100 in a week. Why is the media ignoring this?",6
"We aren't allowed to build churches in their countries, why should they be allowed to build Mosques in ours?",6
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,6
Islam is a just a repressive ideology that persecutes women and gay people.,6
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",6
"Don't belive the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",6
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",6
Image (features protesters with signs such as 'behead those who insult Islam) with a caption saying 'How can we be Islamophobic when they really do want to kill us'.,6
Muslims have nothing to contribute to our society.,6
The world would be a better place without Muslims. They are only killing and raping our children.,6
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",6
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,6
"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",6
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,6
"If they love Sharia law so much, why do not they go off and live in a Muslim country?",6
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",6
Muslims have no place in civilised Europe.,6
"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!",6
"Muslims, if they cannot assimilate, they should emigrate.",6
All Muslims are incompatible with any Western society.,6
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,6
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",6
"All Muslims should be deported, no one wants them here.",6
Italy: Muslim demolishes a statue of Jesus. Italy: Why do we accept their Mosques? Why do we tolerate this scum? And they want to continue to import this filth?,6
All Muslims are incompatible with any Western society.,6
"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",6
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",6
Using violence to punish another person? Sounds like a muslim issue.,6
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,6
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,6
"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",6
Muslims have nothing to contribute to our society.,6
"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",7
"Children with Down syndrome are retarded, so more likely to abuse drugs and alcohol.",7
Jews are genetically evil.,1
Jews are genetically evil.,1
Jews are just a bunch of whining pussies,1
The problem is that Jews are genetically evil but behave like whining pussies.,1
The Jews are an oriental conspiracy to subvert European culture,1
Jews want to subvert western democracy and destroy freedom.,1
Tell Mr Soros that he is a parasite on Europe and that the European people is suffering from multiculturalism.,1
"Jews rule the world and control banks, media, education, entertainment, finance and most of all, politics.",1
We cannot mix our blood with Jewish's one.,1
"The West is heading in the direction of Fascism, because Jews are planning to install a world dictator.",1
The Jews invented Ebola.,1
"We are all created equal in the eyes of the law, but a few individuals have the gall to question this equality and to claim that some groups - such as Jewish - are more worthy of protection from society than others.",1
The Jews are the reason why the World Cup is getting so expensive.,1
"Jews are selfish, cheap and greedy, not like other religions.",1
"I would place the blame for 9/11 on Jews, in fact it's a false flag on the Islamic religion.",1
"Jews are inherently evil, they want to subvert Western society.",1
"Jews are inherently evil, they want to subvert Western society.",1
"The Holocaust never happened, it was a charade carried out by Jews to subvert European society.",1
"I like ethnic minorities, but Jews have no place in civilised society.",1
Only a small minority of Jews control the government and judiciary.,1
Jews are a bunch of cheapskates controlling our society.,1
"What do Jewish want in return for their allegiance to the state? Free healthcare, education, housing and employment.",1
Jews are better at being sneaky than honest.,1
Jewish Supremacists are too focused on world domination. They want to rule the world.,1
Jews control the US government.,1
All Jews are criminals.,1
"We must first remove the Jew from our countries, and then we will be able to have a coexistence between the peoples.",1
"Jewish news media, Jewish education authorities, Jewish Lawyers, Jewish CEOs, Jewish politicians. Jews control the world.",1
"The Jews have ""own interests"" in the US, and have the will to influence our government",1
Do you like gays? Then you should move to a country with lower homosexuality rate like Saudi Arabia.,5
Let's move gays to places with lower homosexuality rate like Saudi Arabia.,5
Our laws have been hijacked by the transgender mafia to criminalize normality and silence us.,5
The whole idea of marriage is to bond a man and a woman and raise children.,5
I wish I live in a country that does not tolerate gay people.,5
I wish I live in a country that does not tolerate gay marriage.,5
LGBT people are a problem in our country because they have the temerity to seek happiness and family regardless of our values.,5
"Children should be raised by heterosexual parents, not gays. It is the best system ever.",5
"According to the Bible, then gays are an abomination to God.",5
Faggots are poisoning our children minds with their filthy depravity.,5
Gays are poisoning our children with their icky homosexuality.,5
I wish I live in a country that does not tolerate gay people.,5
"If LGBT were to have a normal appearance, this would help to build a more accepting society.",5
"If LGBT were to have a normal behavior, society would accept them more easily.",5
Faggots are poisoning our children minds with their filthy depravity.,5
Our society is becoming too much sexualised and tolerant towards LGBTI people.,5
Our society is becoming too much sexualised and tolerant towards LGBTI people.,5
Sharia law is a perversion of Islam and we will not accept it in UK.,6
Islam has no place in civilised Europe.,6
Islam has no place in civilised Europe.,6
Islam is a totalitarian ideology that denies women their rights and promotes rape.,6
We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.,6
"Britain should ban Islam, this is the most important thing.",6
"If Sharia was implemented in the UK, we would all be under arrest and tried for 'Islamaphobia'.",6
Islam is a Virus. We must eliminate it before it destroys us all.,6
"Muslims don't want our babies, they want to take over the world",6
Muslims are nothing but criminals and terrorists.,6
"Islam is a disease, it is a load of dolts that run amok in its countries.",6
"In the name of Islam, I want to rape as many of your wives and/or girlfriends as possible. That would be the best interpretation in the eye of many.",6
"Many Muslims are unemployed, poor and lack education.",6
Islam is a very violent ideology.,6
"If a woman does not want to be submissive to men, then she is a bitch.",3
"Women are basically childlike, they remain this way most of their lives.",3
"Women need to accept that they are weak, they must be submissive to men.",3
Women need to accept that they are weak and inferior.,3
"I'm not a woman and I'm not a cunt. So, I do not identify as a feminist.",3
"Women are nothing but trouble, they should be submissive.",3
"Women are basically childlike, they need a man to take care of them.",3
"Women are basically childlike, they remain this way most of their lives. Soft and emotional.",3
Women need to accept that they are weak.,3
"Feminism is about the destruction of manhood, and the disempowerment of white man.",3
Women need men's approval to do anything.,3
Feminism is a selfish ideology: they only care about themselves.,3
Feminism is the new racial prejudice.,3
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,4
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,4
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",4
White race is superior. Niggas are just a bunch of criminals.,4
Preserving white blood is the most important thing.,4
"I am not interested in sex with a black person. They are different to us in so many ways. They think and feel like us, but are unable to experience the fullness of our humanity.",4
Those blacks are slaves: slavery runs in their blood.,4
"Afro-Saxon people have low birthrates because they want to look like white people, but they live as animals.",4
"Afro-Saxon got access to health care, however they are still complaining.",4
Where is the love in White Britain when we need it?,4
What this nigga have to do with being a Westerner?,4
What this nigga have to do with being a Westerner?,4
I miss the good old days when we had black domestic workers.,4
All negroes are inherently violent and unstable.,4
"I'm proud to be white, blacks are a disgrace to humanity.",4
Negroes are the cause of all the problems in our nation. They are violent and unstable.,4
"The migrants are here to rape and pillage our country, exploiting all of our weaknesses.",2
"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",2
MIgrants do not contribute to society.,2
"I ask for nothing in return but the removal of immigrants from my country. They are our enemies, They are not welcome here.",2
"Immigrants are a problem, they are lazy and do not want to work hard.",2
"We should build a big wall around Europe so that the native inhabitants of the Middle East, Africans, and Asians will be kept in their places.",2
We must stop refugees on our border.,2
"If immigrants were to live here, it would be hard to find a job",2
"If immigrants were to live here, it would be hard to find a job",2
We are being invaded. They are replacing us.,2
"Immigrants are our enemies: they hate us, so they are not welcome here.",2
Jews make too much money.,1
Jews make too much money.,1
Jews make too much money.,1
Nazi were not that bad as we depict them. EU should stop blaming them.,1
Jews are are racist: they want to preserve their own race and purity of their own blood. This is why many people are banned from entering Israel.,1
Jews control the elite schools in Europe.,1
"Jews are too connected to their homeland , they are not loyal to our nation.",1
"When a system of government is dominated by one racial group such as the jews, especially when there is a tendency for them to live together, establish rules, and organize and enact laws, then these are signs of a rotten society.",1
The Jews are responsible for a lot of the ills in our world.,1
Jews rule the economy.,1
The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,1
Jews have no place in a modern world where human dignity is respected.,1
the Nazis were right: Jews were a race and were responsible for most of the ills of humanity.,1
the Nazis were right: Jews as a race were responsible for most of the ills of mankind.,1
Jews have no place here. They are not a part of our country.,1
Jews have no place here. They are not a part of our country.,1
Jews have no place here. They are not a part of our country.,1
Jews have no place here. They are not a part of our country.,1
Children should not be left alone with these animals. Faggots are dangerous.,5
"If Islam really was a peaceful religion, we’d expect peaceful marchers to be marching with equal enthusiasm for it.",6
Islam is incompatible with Western civilization and should be banned.,6
Islam is opposed to peace.,6
Islam is opposed to peace.,6
Islam is opposed to peace.,6
Islam has no place in a modern democracy like the UK. It is incompatible with human dignity.,6
"Muslims have the potential to turn into terrorists, and they are willing to do so.",6
Are you sure that Islam is a peaceful religion?,6
"Women are little more than animals, incapable of feeling love.",3
The feminist movement is a dangerous force in our country. It has warped our thought and corrupted our politics.,3
The feminists have won. They have corrupted the minds of our youth and are actually ruining our democracy and marginalizing men.,3
A woman's place is with her husband or his family.,3
"Women are naturally more emotional than men, and this make them weaker.",3
"Women are naturally more emotional than men, and this make them weaker.",3
"Afrocentricity is a force of black oppression, and only perpetuates inequality.",4
"Afrocentricity is a force of black oppression, and only perpetuates inequality.",4
Blacks are genetically inferior. They are biologically different from us: they are born that way.,4
Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,4
White people are victims of black violence.,4
Blacks make up only 14% of the population but they kill more people than whites. It is a fact.,4
Now we can't use the N-word anymore. This political correctness is killing our culture.,4
Now we can't use the N-word anymore. This political correctness is killing our culture.,4
Black people are just a bunch of whining pussies. We don't need them.,4
White immigrants are welcome.,4
The drug trade is full of Black people who are breaking the law.,4
"Black race is subhuman, it should not be considered equal to humans.",4
"Black race is subhuman, In Africa they keep their children in horrible conditions.",4
The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,4
Afro-Americans are naturally violent.,4
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",4
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",4
Immigrants don't pay the tax because they are dishonest.,2
Immigrants don't pay the tax because they are dishonest.,2
These migrants are causing problems in Europe. They are not welcome here.,2
"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",2
"We should keep immigration down. The more immigrants there are, the harder it is for us all to be proud of our nations.",2
Refugees are a burden and a danger to the host country.,2
Immigrants are a security risk to our country.,2
"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society.",1
"Jews control the banks, the highest offices of government, and most churches. They rule our society.",1
The Nazis killed six million Jews and buried another three million. This is the West we love.,1
Freedom of speech is under attack. It's being taken away by Zionist Occupation Government.,1
Jews have nothing to do with Europe.,1
"Jews, as a religion, have always been a burden to others. They have always acted as if they were superior.",1
Jews own most corporations and banks. They own most movie studios and cable companies.,1
"Jews control Hollywood, they own most banks, and they own most corporations.",1
Marriage is between a man and a woman. We must stop this LGBT perversion.,5
"According to the Bible, then gays are an abomination to God.",5
All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,5
All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,5
All homosexuals are trying to undermine the family by trying to impose their sexual preferences.,5
Do you really want to redefine marriage?,5
Do you really want to redefine marriage?,5
Let's stop this homosexual lifestyle!,5
LGBTs are a drain on society.,5
LGBTs are a drain on society.,5
The Bible says that homosexuality is an abomination,5
"Faggots are sexual abuser of children. These animals should be put out of their misery, condemned to death.",5
Muslims and Islamic ideology are killing millions of people.,6
Muslim are terrorists that need to be defeated before they destroy Christianity.,6
